,field,full_field_name
0,indx,index
1,objctd,OBJECTID
2,ctgry,Category
3,dCtgry,d_Category
4,ownTyp,Own_Type
5,dOwnTyp,d_Own_Type
6,ownNm,Own_Name
7,dOwnNm,d_Own_Name
8,lcOwn,Loc_Own
9,mngTyp,Mang_Type
10,dMngTyp,d_Mang_Type
11,mngNm,Mang_Name
12,dMngNm,d_Mang_Name
13,lcMng,Loc_Mang
14,dsTp,Des_Tp
15,dDsTp,d_Des_Tp
16,lcDs,Loc_Ds
17,untNm,Unit_Nm
18,lcNm,Loc_Nm
19,sttNm,State_Nm
20,dSttNm,d_State_Nm
21,aggSrc,Agg_Src
22,gsSrc,GIS_Src
23,srcDt,Src_Date
24,gsAcrs,GIS_Acres
25,srcPd,Source_PAID
26,wdpCd,WDPA_Cd
27,pbAccss,Pub_Access
28,dAccss,d_Access
29,accssSrc,Access_Src
30,accssDt,Access_Dt
31,gpSts,GAP_Sts
32,dGpSts,d_GAP_Sts
33,gpcdsrc,GAPCdSrc
34,gpcddt,GAPCdDt
35,icnCt,IUCN_Cat
36,dIcnCt,d_IUCN_Cat
37,icnctsrc,IUCNCtSrc
38,icnctdt,IUCNCtDt
39,dtEst,Date_Est
40,cmmnts,Comments
41,geometry,geometry
42,lyrNm,layer_name
43,lyrId,layer_id
44,lyrKy,layer_key
45,svcNm,svc_name
46,svcId,svc_id
47,lbl,label
48,ar,area
49,stbck,setback
50,exFrmBldbl,exclude_from_buildable
51,ftrWdth,feature_width
